id,nc_inst_id,instkey,building_key,cardholder_kastle_guid,card_holder_sees_presence
1,1,1,1,a2d996fc-9e97-16e4-3c98-80a889ae7c23,0
2,1,1,1,ce5ba133-1ae0-ef24-7369-f3921b5a442f,0
3,1,1,1,bc0a8b13-9278-8b74-40b5-c505a31bc64a,1
4,1,1,1,ee89629c-b43b-eeb9-00fb-ef14f8b9553c,0
5,1,1,1,dcce1615-aa77-98c1-4049-ce588cabbcf2,0
6,1,1,1,7ca47c89-8972-22b9-acc5-726e7ea166fe,0
7,1,1,1,1d2a6e46-8de1-6bb4-5927-fe7483fc0f15,1
8,1,1,1,9152ed5d-2b72-552b-4f3c-19909e510790,1
9,1,1,1,aa635e25-eb44-0f77-7265-6f69a1ea0dec,0
10,1,1,1,0277cfb8-1a69-f658-b217-40ab8c44af4a,0
11,1,1,1,16fe5474-486b-fd72-8c59-0387aa913cef,0
12,1,1,1,b3396a7c-95c4-accb-e049-1431903850c5,1
13,1,1,1,aabf7434-d264-ad4f-1096-7561dd51e1d8,1
14,1,1,1,e3fc40c8-6c2f-e54c-7607-a0d3d529e8da,0
15,1,1,1,b2ada4a6-2d7c-24f6-21f3-67c7c4c4949f,0
16,1,1,1,826521ff-cb97-62e4-f0c7-e38139560ea2,0
17,1,1,1,d10ba14a-4540-8890-ec84-75ca06c8cf7f,1
18,1,1,1,795939c2-112a-cedb-ff3e-d96d1e3a8376,0
19,1,1,1,4d5f09e3-1c7d-aa87-f59d-42bb347b7eee,1
20,1,1,1,00fe1ff0-9954-48bb-d160-90073892c2f0,1
21,1,1,1,646e7270-9d3f-9b83-6bd5-8a2a9a3991a8,0
22,1,1,1,eeb8e8ac-8fc3-f64e-6863-3501605d92e7,0
23,1,1,1,983c7332-68d5-3a6e-7700-2fea0f9f88a4,0
24,1,1,1,052d3456-bf63-939b-e6bb-264b60d69376,0
25,1,1,1,0010b8ac-a7cb-c470-8833-500bc78a071c,0
26,1,1,1,44413f8f-6262-02ec-e01e-0217c87acef5,0
27,1,1,1,986d139d-d9ee-64f2-a9c3-4ede20186288,0
28,1,1,1,3919f338-f22c-dcca-a980-b6d5b90849fd,0
29,1,1,1,93198907-a64b-c59e-cf45-e8f472a432a2,0
30,1,1,1,4e1af473-f76e-fffe-a917-9337b77b9367,0
31,1,1,1,a719622b-ab2e-9e5c-258f-431ee3cde163,0
32,1,1,1,1aeab4a0-da16-2190-a658-562d7c11544d,0
33,1,1,1,60b23c89-4e26-4556-62b4-fa6c336f3b03,0
34,1,1,1,b46d8161-b151-5ccb-19f7-3ee9c247e006,0
35,1,1,1,716919e4-8bfe-3ef4-160a-34318ca8fdfc,0
36,1,1,1,fcc99495-138a-c336-7dea-1cdb18d9c42d,0
37,1,1,1,0002703b-c8c5-cddf-f827-adfd55d36b06,0
38,1,1,1,f361245f-e671-ec9c-9d65-5fb5b1c5589a,0
39,1,1,1,f88439d0-9fc6-8301-3ade-cda1008fd51c,0
40,1,1,1,04dc731f-2ef1-8704-e4de-276732484f66,0
41,1,1,1,5c320523-b390-cd82-d946-b12ed9b83174,1
42,1,1,1,5b1fdf76-e137-e6b8-b20a-542382de44ea,1
43,1,1,1,919204f7-7dee-8acb-e7b3-3ef5d96ba78a,0
44,1,1,1,2d4ef446-b0b1-9641-a3dd-96599f454fbf,1
45,1,1,1,b469204b-1fee-9686-e3b9-358773052115,0
46,1,1,1,0fce78af-e00b-e668-ea8d-7ebb667a90be,0
47,1,1,1,e5bb0261-31de-5a9b-042f-3bb56524da0f,0
48,2,2,1,44448012-1132-7e36-978e-8e3a6ab9c301,0
49,2,2,1,9bcf2ab9-9349-5f34-8929-f09089a4f0b0,0
50,2,2,1,09967a11-1554-eaf4-ed96-4605c181cbdf,1
51,2,2,1,f228fd16-3afd-dab9-0bfc-fb69a5a2f572,0
52,2,2,1,ebe8428b-bcde-302a-b099-3790d38c4af3,1
53,2,2,1,f98cd177-0707-41d3-cf3d-1bd1397b7b0e,0
