order_id,customer_id,order_date,total_price,status,items_count,created_at,updated_at
ORD_00009591,CUST_000715,2025-08-22T03:10:02.584677Z,23713.69,shipped,3,2025-08-22T15:46:22.374503Z,2025-08-29T19:25:32.630806Z
ORD_00018865,CUST_001654,2025-02-04T13:59:52.394741Z,6408.44,delivered,1,2025-02-04T16:08:56.875513Z,2025-03-02T13:24:37.164331Z
ORD_00021110,CUST_000381,2025-09-22T01:37:01.430642Z,15243.72,confirmed,2,2025-09-22T03:56:02.220651Z,2025-10-06T09:59:38.078020Z
ORD_00020368,CUST_001970,2025-10-04T06:46:08.480524Z,26461.16,shipped,5,2025-10-04T02:14:36.274970Z,2025-10-09T09:37:13.575814Z
ORD_00023854,CUST_000086,2026-05-24T01:25:39.183611Z,13831.63,pending,4,2026-05-24T18:11:04.232833Z,2026-06-17T07:31:28.505272Z
ORD_00011379,CUST_000494,2025-03-31T13:33:22.864987Z,3771.93,delivered,1,2025-03-31T10:25:44.579444Z,2025-04-22T09:15:31.063702Z
ORD_00017326,CUST_000308,2026-07-20T12:45:36.865152Z,21645.24,delivered,4,2026-07-20T13:22:40.022117Z,2026-08-19T19:07:52.580761Z
ORD_00015373,CUST_001905,2025-08-12T05:24:01.273354Z,33292.29,delivered,5,2025-08-12T08:41:41.557878Z,2025-08-24T10:01:33.257091Z
ORD_00016852,CUST_001819,2026-03-03T09:40:15.073499Z,1021.57,delivered,1,2026-03-03T04:44:26.925788Z,2026-03-30T01:45:00.552333Z
ORD_00017523,CUST_000681,2025-08-11T17:31:40.688470Z,35573.82,delivered,4,2025-08-11T13:12:20.869698Z,2025-08-27T12:26:40.015717Z
ORD_00011239,CUST_001139,2026-02-03T23:23:34.710401Z,17529.4,delivered,2,2026-02-03T02:54:42.448902Z,2026-02-27T23:11:20.194571Z
ORD_00005811,CUST_000221,2024-12-24T01:16:32.229940Z,16630.81,delivered,4,2024-12-24T19:46:16.498739Z,2025-01-05T00:04:29.788469Z
ORD_00001604,CUST_000742,2026-01-18T00:48:59.134763Z,23310.09,cancelled,3,2026-01-18T06:55:30.745314Z,2026-01-21T15:37:40.610158Z
